WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 0.000000 0.095968 0.191834 0.095866 0.000000 0.000000 0.000000 0.095968 0.191834 0.095866 0.000000 
0.000000 0.000000 0.000000 0.098010 0.195916 0.097906 0.000000 0.000000 0.000000 0.098010 0.195916 0.097906 0.000000 
0.000000 0.000000 0.000000 0.100052 0.199998 0.099946 0.000000 0.000000 0.000000 0.100052 0.199998 0.099946 0.000000 
0.000000 0.000000 0.000000 0.102094 0.204079 0.101986 0.000000 0.000000 0.000000 0.102094 0.204079 0.101986 0.000000 
0.000000 0.000000 0.000000 0.104136 0.208161 0.104025 0.000000 0.000000 0.000000 0.104136 0.208161 0.104025 0.000000 
0.000000 0.000000 0.000000 0.106177 0.212242 0.106065 0.000000 0.000000 0.000000 0.106177 0.212242 0.106065 0.000000 
0.000000 0.000000 0.000000 0.108219 0.216324 0.108105 0.000000 0.000000 0.000000 0.108219 0.216324 0.108105 0.000000 
0.000000 0.000000 0.000000 0.110261 0.220405 0.110144 0.000000 0.000000 0.000000 0.110261 0.220405 0.110144 0.000000 
0.000000 0.000000 0.000000 0.112303 0.224487 0.112184 0.000000 0.000000 0.000000 0.112303 0.224487 0.112184 0.000000 
0.000000 0.000000 0.000000 0.114345 0.228569 0.114224 0.000000 0.000000 0.000000 0.114345 0.228569 0.114224 0.000000 
0.000000 0.000000 0.000000 0.116387 0.232650 0.116263 0.000000 0.000000 0.000000 0.116387 0.232650 0.116263 0.000000 
0.000000 0.000000 0.000000 0.118429 0.236732 0.118303 0.000000 0.000000 0.000000 0.118429 0.236732 0.118303 0.000000 
0.000000 0.000000 0.000000 0.120470 0.240813 0.120343 0.000000 0.000000 0.000000 0.120470 0.240813 0.120343 0.000000 
0.000000 0.000000 0.000000 0.122512 0.244895 0.122383 0.000000 0.000000 0.000000 0.122512 0.244895 0.122383 0.000000 
0.000000 0.000000 0.000000 0.124554 0.248977 0.124422 0.000000 0.000000 0.000000 0.124554 0.248977 0.124422 0.000000 
0.000000 0.000000 0.000000 0.126596 0.253058 0.126462 0.000000 0.000000 0.000000 0.126596 0.253058 0.126462 0.000000 
