WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 -0.000121 0.016986 0.033953 0.016968 0.000121 0.000000 -0.000121 0.016986 0.033953 0.016968 -0.000121 
0.000000 0.000000 -0.000124 0.017363 0.034708 0.017345 0.000124 0.000000 -0.000124 0.017363 0.034708 0.017345 -0.000124 
0.000000 0.000000 -0.000126 0.017741 0.035462 0.017722 0.000126 0.000000 -0.000126 0.017741 0.035462 0.017722 -0.000126 
0.000000 0.000000 -0.000129 0.018118 0.036217 0.018099 0.000129 0.000000 -0.000129 0.018118 0.036217 0.018099 -0.000129 
0.000000 0.000000 -0.000132 0.018495 0.036971 0.018476 0.000132 0.000000 -0.000132 0.018495 0.036971 0.018476 -0.000132 
0.000000 0.000000 -0.000134 0.018873 0.037726 0.018853 0.000134 0.000000 -0.000134 0.018873 0.037726 0.018853 -0.000134 
0.000000 0.000000 -0.000137 0.019250 0.038480 0.019230 0.000137 0.000000 -0.000137 0.019250 0.038480 0.019230 -0.000137 
0.000000 0.000000 -0.000140 0.019628 0.039235 0.019607 0.000140 0.000000 -0.000140 0.019628 0.039235 0.019607 -0.000140 
0.000000 0.000000 -0.000142 0.020005 0.039990 0.019984 0.000142 0.000000 -0.000142 0.020005 0.039990 0.019984 -0.000142 
0.000000 0.000000 -0.000145 0.020383 0.040744 0.020361 0.000145 0.000000 -0.000145 0.020383 0.040744 0.020361 -0.000145 
0.000000 0.000000 -0.000148 0.020760 0.041499 0.020738 0.000148 0.000000 -0.000148 0.020760 0.041499 0.020738 -0.000148 
0.000000 0.000000 -0.000150 0.021138 0.042253 0.021115 0.000150 0.000000 -0.000150 0.021138 0.042253 0.021115 -0.000150 
0.000000 0.000000 -0.000153 0.021515 0.043008 0.021493 0.000153 0.000000 -0.000153 0.021515 0.043008 0.021493 -0.000153 
0.000000 0.000000 -0.000156 0.021893 0.043762 0.021870 0.000156 0.000000 -0.000156 0.021893 0.043762 0.021870 -0.000156 
0.000000 0.000000 -0.000158 0.022270 0.044517 0.022247 0.000158 0.000000 -0.000158 0.022270 0.044517 0.022247 -0.000158 
0.000000 0.000000 -0.000161 0.022647 0.045271 0.022624 0.000161 0.000000 -0.000161 0.022647 0.045271 0.022624 -0.000161 
0.000000 0.000000 -0.000164 0.023025 0.046026 0.023001 0.000164 0.000000 -0.000164 0.023025 0.046026 0.023001 -0.000164 
0.000000 0.000000 -0.000166 0.023402 0.046780 0.023378 0.000166 0.000000 -0.000166 0.023402 0.046780 0.023378 -0.000166 
0.000000 0.000000 -0.000169 0.023780 0.047535 0.023755 0.000169 0.000000 -0.000169 0.023780 0.047535 0.023755 -0.000169 
0.000000 0.000000 -0.000172 0.024157 0.048289 0.024132 0.000172 0.000000 -0.000172 0.024157 0.048289 0.024132 -0.000172 
0.000000 0.000000 -0.000175 0.024535 0.049044 0.024509 0.000175 0.000000 -0.000175 0.024535 0.049044 0.024509 -0.000175 
0.000000 0.000000 -0.000177 0.024912 0.049798 0.024886 0.000177 0.000000 -0.000177 0.024912 0.049798 0.024886 -0.000177 
0.000000 0.000000 -0.000180 0.025290 0.050553 0.025263 0.000180 0.000000 -0.000180 0.025290 0.050553 0.025263 -0.000180 
0.000000 0.000000 -0.000183 0.025667 0.051307 0.025640 0.000183 0.000000 -0.000183 0.025667 0.051307 0.025640 -0.000183 
0.000000 0.000000 -0.000185 0.026045 0.052062 0.026017 0.000185 0.000000 -0.000185 0.026045 0.052062 0.026017 -0.000185 
0.000000 0.000000 -0.000188 0.026422 0.052816 0.026394 0.000188 0.000000 -0.000188 0.026422 0.052816 0.026394 -0.000188 
0.000000 0.000000 -0.000191 0.026799 0.053571 0.026771 0.000191 0.000000 -0.000191 0.026799 0.053571 0.026771 -0.000191 
0.000000 0.000000 -0.000193 0.027177 0.054325 0.027148 0.000193 0.000000 -0.000193 0.027177 0.054325 0.027148 -0.000193 
0.000000 0.000000 -0.000196 0.027554 0.055080 0.027525 0.000196 0.000000 -0.000196 0.027554 0.055080 0.027525 -0.000196 
0.000000 0.000000 -0.000199 0.027932 0.055834 0.027903 0.000199 0.000000 -0.000199 0.027932 0.055834 0.027903 -0.000199 
0.000000 0.000000 -0.000201 0.028309 0.056589 0.028280 0.000201 0.000000 -0.000201 0.028309 0.056589 0.028280 -0.000201 
