WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.000000 0.000000 -0.000013 0.001880 0.003826 0.001878 0.000013 0.000000 -0.000013 0.001880 0.003689 0.001878 -0.000013 
0.000000 0.000000 -0.000027 0.003760 0.007652 0.003756 0.000027 0.000000 -0.000027 0.003760 0.007379 0.003756 -0.000027 
0.000000 0.000000 -0.000040 0.005639 0.011477 0.005633 0.000040 0.000000 -0.000040 0.005639 0.011068 0.005633 -0.000040 
0.000000 0.000000 -0.000053 0.007519 0.015303 0.007511 0.000053 0.000000 -0.000053 0.007519 0.014758 0.007511 -0.000053 
0.000000 0.000000 -0.000067 0.009399 0.019129 0.009389 0.000067 0.000000 -0.000067 0.009399 0.018447 0.009389 -0.000067 
0.000000 0.000000 -0.000080 0.011279 0.022955 0.011267 0.000080 0.000000 -0.000080 0.011279 0.022136 0.011267 -0.000080 
0.000000 0.000000 -0.000094 0.013158 0.026780 0.013145 0.000094 0.000000 -0.000094 0.013158 0.025826 0.013145 -0.000094 
0.000000 0.000000 -0.000107 0.015038 0.030606 0.015022 0.000107 0.000000 -0.000107 0.015038 0.029515 0.015022 -0.000107 
0.000000 0.000000 -0.000120 0.016918 0.034432 0.016900 0.000120 0.000000 -0.000120 0.016918 0.033204 0.016900 -0.000120 
0.000000 0.000000 -0.000134 0.018798 0.038258 0.018778 0.000134 0.000000 -0.000134 0.018798 0.036894 0.018778 -0.000134 
0.000000 0.000000 -0.000147 0.020678 0.042084 0.020656 0.000147 0.000000 -0.000147 0.020678 0.040583 0.020656 -0.000147 
0.000000 0.000000 -0.000160 0.022557 0.045909 0.022534 0.000160 0.000000 -0.000160 0.022557 0.044273 0.022534 -0.000160 
0.000000 0.000000 -0.000174 0.024437 0.049735 0.024411 0.000174 0.000000 -0.000174 0.024437 0.047962 0.024411 -0.000174 
0.000000 0.000000 -0.000187 0.026317 0.053561 0.026289 0.000187 0.000000 -0.000187 0.026317 0.051651 0.026289 -0.000187 
0.000000 0.000000 -0.000201 0.028197 0.057387 0.028167 0.000201 0.000000 -0.000201 0.028197 0.055341 0.028167 -0.000201 
0.000000 0.000000 -0.000214 0.030076 0.061212 0.030045 0.000214 0.000000 -0.000214 0.030076 0.059030 0.030045 -0.000214 
0.000000 0.000000 -0.000227 0.031956 0.065038 0.031923 0.000227 0.000000 -0.000227 0.031956 0.062720 0.031923 -0.000227 
0.000000 0.000000 -0.000241 0.033836 0.068864 0.033800 0.000241 0.000000 -0.000241 0.033836 0.066409 0.033800 -0.000241 
0.000000 0.000000 -0.000254 0.035716 0.072690 0.035678 0.000254 0.000000 -0.000254 0.035716 0.070098 0.035678 -0.000254 
0.000000 0.000000 -0.000267 0.037596 0.076516 0.037556 0.000267 0.000000 -0.000267 0.037596 0.073788 0.037556 -0.000267 
0.000000 0.000000 -0.000281 0.039475 0.080341 0.039434 0.000281 0.000000 -0.000281 0.039475 0.077477 0.039434 -0.000281 
0.000000 0.000000 -0.000294 0.041355 0.084167 0.041312 0.000294 0.000000 -0.000294 0.041355 0.081166 0.041312 -0.000294 
