0 X Y Z
0.0007304 0 0 0 
0.0504724 0 0 0 
0.100465 0 0 0 
0.15047 0 0 0 
0.200469 0 0 0 
0.250466 1.5 3.5 5.5 
0.300466 1.5 3.5 5.5 
0.350469 1.24682 3.24682 5.24682 
0.40047 1.24682 3.24682 5.24682 
0.450477 1.02053 3.02053 5.02053 
0.500675 1.02053 3.02053 5.02053 
0.5506 1.52209 3.52209 5.52209 
0.600517 1.52209 3.52209 5.52209 
0.650604 1.99011 3.99011 5.99011 
0.700678 1.99011 3.99011 5.99011 
0.7506 1.71413 3.71413 5.71413 
0.800518 1.71413 3.71413 5.71413 
0.850602 1.11309 3.11309 5.11309 
0.900678 1.11309 3.11309 5.11309 
0.950562 1.09939 3.09939 5.09939 
1.00065 1.09939 3.09939 5.09939 
1.0506 1.69382 3.69382 5.69382 
1.10067 1.69382 3.69382 5.69382 
1.1506 1.99403 3.99403 5.99403 
1.20052 1.99403 3.99403 5.99403 
1.2506 1.54429 3.54429 5.54429 
1.30066 1.54429 3.54429 5.54429 
1.3506 1.02732 3.02732 5.02732 
1.40052 1.02732 3.02732 5.02732 
1.4506 1.22789 3.22789 5.22789 
1.50068 1.22789 3.22789 5.22789 
1.5506 1.84153 3.84153 5.84153 
1.60068 1.84153 3.84153 5.84153 
1.6506 1.93672 3.93672 5.93672 
1.70068 1.93672 3.93672 5.93672 
1.7506 1.36896 3.36896 5.36896 
1.80052 1.36896 3.36896 5.36896 
1.8506 1.00012 3.00012 5.00012 
1.90068 1.00012 3.00012 5.00012 
1.9506 1.39011 3.39011 5.39011 
2.00062 1.39011 3.39011 5.39011 
2.0506 1.94692 3.94692 5.94692 
2.10066 1.94692 3.94692 5.94692 
2.1506 1.82529 3.82529 5.82529 
2.20052 1.82529 3.82529 5.82529 
2.2506 1.20987 3.20987 5.20987 
2.30067 1.20987 3.20987 5.20987 
2.3506 1.03487 3.03487 5.03487 
2.40052 1.03487 3.03487 5.03487 
2.4506 1.56595 3.56595 5.56595 
2.50067 1.56595 3.56595 5.56595 
2.5506 1.99692 3.99692 5.99692 
2.60052 1.99692 3.99692 5.99692 
2.6506 1.67355 3.67355 5.67355 
2.70068 1.67355 3.67355 5.67355 
2.7506 1.08673 3.08673 5.08673 
2.80052 1.08673 3.08673 5.08673 
2.8506 1.12726 3.12726 5.12726 
2.90067 1.12726 3.12726 5.12726 
2.9506 1.73362 3.73362 5.73362 
3.00068 1.73362 3.73362 5.73362 
3.0506 1.98534 3.98534 5.98534 
3.10069 1.98534 3.98534 5.98534 
3.1506 1.5003 3.5003 5.5003 
3.20068 1.5003 3.5003 5.5003 
3.2506 1.01481 3.01481 5.01481 
3.30067 1.01481 3.01481 5.01481 
3.3506 1.26585 3.26585 5.26585 
3.40052 1.26585 3.26585 5.26585 
3.4506 1.87234 3.87234 5.87234 
3.50067 1.87234 3.87234 5.87234 
3.5506 1.91361 3.91361 5.91361 
3.60052 1.91361 3.91361 5.91361 
3.6506 1.32701 3.32701 5.32701 
3.70067 1.32701 3.32701 5.32701 
3.7506 1.00302 3.00302 5.00302 
3.80052 1.00302 3.00302 5.00302 
3.8506 1.43345 3.43345 5.43345 
3.90068 1.43345 3.43345 5.43345 
3.9506 1.96491 3.96491 5.96491 
4.00068 1.96491 3.96491 5.96491 
4.0506 1.79062 3.79062 5.79062 
4.10069 1.79062 3.79062 5.79062 
4.1506 1.17517 3.17517 5.17517 
4.20052 1.17517 3.17517 5.17517 
4.2506 1.05281 3.05281 5.05281 
4.30067 1.05281 3.05281 5.05281 
4.3506 1.6093 3.6093 5.6093 
4.40052 1.6093 3.6093 5.6093 
4.4506 1.99987 3.99987 5.99987 
4.50068 1.99987 3.99987 5.99987 
4.5506 1.63162 3.63162 5.63162 
4.60067 1.63162 3.63162 5.63162 
4.6506 1.06357 3.06357 5.06357 
4.70067 1.06357 3.06357 5.06357 
4.7506 1.15803 3.15803 5.15803 
4.80052 1.15803 3.15803 5.15803 
4.8506 1.77161 3.77161 5.77161 
4.90067 1.77161 3.77161 5.77161 
4.9506 1.97288 3.97288 5.97288 
5.00054 1.97288 3.97288 5.97288 
5.0506 1.45631 3.45631 5.45631 
5.10069 1.45631 3.45631 5.45631 
5.1506 1.00606 3.00606 5.00606 
5.20052 1.00606 3.00606 5.00606 
5.2506 1.30562 3.30562 5.30562 
5.30067 1.30562 3.30562 5.30562 
5.3511 1.90025 3.90025 5.90025 
5.40052 1.90025 3.90025 5.90025 
5.45056 1.88729 3.88729 5.88729 
5.50057 1.88729 3.88729 5.88729 
5.55056 1.28641 3.28641 5.28641 
5.60056 1.28641 3.28641 5.28641 
5.65123 1.00977 3.00977 5.00977 
5.70056 1.00977 3.00977 5.00977 
5.75056 1.47731 3.47731 5.47731 
5.80057 1.47731 3.47731 5.47731 
5.85057 1.9793 3.9793 5.9793 
5.90056 1.9793 3.9793 5.9793 
5.95057 1.7537 3.7537 5.7537 
6.00057 1.7537 3.7537 5.7537 
6.05056 1.14298 3.14298 5.14298 
6.10056 1.14298 3.14298 5.14298 
6.15056 1.07422 3.07422 5.07422 
6.20057 1.07422 3.07422 5.07422 
6.25056 1.6518 3.6518 5.6518 
6.30057 1.6518 3.6518 5.6518 
6.35057 1.99894 3.99894 5.99894 
6.40051 1.99894 3.99894 5.99894 
6.45055 1.58868 3.58868 5.58868 
6.50057 1.58868 3.58868 5.58868 
6.55057 1.0438 3.0438 5.0438 
6.60057 1.0438 3.0438 5.0438 
6.65057 1.19145 3.19145 5.19145 
6.70056 1.19145 3.19145 5.19145 
6.75056 1.80749 3.80749 5.80749 
6.80057 1.80749 3.80749 5.80749 
6.85057 1.95676 3.95676 5.95676 
6.90057 1.95676 3.95676 5.95676 
6.95057 1.41266 3.41266 5.41266 
7.00057 1.41266 3.41266 5.41266 
7.05057 1.00115 3.00115 5.00115 
7.10056 1.00115 3.00115 5.00115 
7.15056 1.34691 3.34691 5.34691 
7.20057 1.34691 3.34691 5.34691 
7.25057 1.92506 3.92506 5.92506 
7.30056 1.92506 3.92506 5.92506 
7.35056 1.85796 3.85796 5.85796 
7.40057 1.85796 3.85796 5.85796 
7.45056 1.24747 3.24747 5.24747 
7.50057 1.24747 3.24747 5.24747 
7.55057 1.02032 3.02032 5.02032 
7.60057 1.02032 3.02032 5.02032 
7.65059 1.52134 3.52134 5.52134 
7.70056 1.52134 3.52134 5.52134 
7.75057 1.98996 3.98996 5.98996 
7.80057 1.98996 3.98996 5.98996 
7.85056 1.71481 3.71481 5.71481 
7.90056 1.71481 3.71481 5.71481 
7.95092 1.11357 3.11357 5.11357 
8.00057 1.11357 3.11357 5.11357 
8.05056 1.09894 3.09894 5.09894 
8.10056 1.09894 3.09894 5.09894 
8.15056 1.69313 3.69313 5.69313 
8.20057 1.69313 3.69313 5.69313 
8.25056 1.99415 3.99415 5.99415 
8.30056 1.99415 3.99415 5.99415 
8.35057 1.54504 3.54504 5.54504 
8.40057 1.54504 3.54504 5.54504 
8.45056 1.02756 3.02756 5.02756 
8.50057 1.02756 3.02756 5.02756 
8.55056 1.22726 3.22726 5.22726 
8.60057 1.22726 3.22726 5.22726 
8.65057 1.84098 3.84098 5.84098 
8.70056 1.84098 3.84098 5.84098 
8.75056 1.93709 3.93709 5.93709 
8.80057 1.93709 3.93709 5.93709 
8.85057 1.36969 3.36969 5.36969 
8.90056 1.36969 3.36969 5.36969 
8.95056 1.0001 3.0001 5.0001 
9.00057 1.0001 3.0001 5.0001 
9.05057 1.38938 3.38938 5.38938 
9.10056 1.38938 3.38938 5.38938 
9.15056 1.94658 3.94658 5.94658 
9.20057 1.94658 3.94658 5.94658 
9.25057 1.82586 3.82586 5.82586 
9.30056 1.82586 3.82586 5.82586 
9.35057 1.21048 3.21048 5.21048 
9.40057 1.21048 3.21048 5.21048 
9.45056 1.03459 3.03459 5.03459 
9.50056 1.03459 3.03459 5.03459 
9.55057 1.5652 3.5652 5.5652 
9.60057 1.5652 3.5652 5.5652 
9.65057 1.99683 3.99683 5.99683 
9.70057 1.99683 3.99683 5.99683 
9.75056 1.67426 3.67426 5.67426 
9.80057 1.67426 3.67426 5.67426 
9.85057 1.08715 3.08715 5.08715 
9.90057 1.08715 3.08715 5.08715 
9.95057 1.12676 3.12676 5.12676 
10.0006 1.12676 3.12676 5.12676 
10.0506 1.73295 3.73295 5.73295 
10.1006 1.73295 3.73295 5.73295 
10.1506 1.98552 3.98552 5.98552 
10.2006 1.98552 3.98552 5.98552 
10.2506 1.50106 3.50106 5.50106 
10.3006 1.50106 3.50106 5.50106 
10.3506 1.01499 3.01499 5.01499 
10.4006 1.01499 3.01499 5.01499 
10.4506 1.26518 3.26518 5.26518 
10.5006 1.26518 3.26518 5.26518 
10.5506 1.87183 3.87183 5.87183 
10.6006 1.87183 3.87183 5.87183 
10.6506 1.91403 3.91403 5.91403 
10.7006 1.91403 3.91403 5.91403 
10.7506 1.32772 3.32772 5.32772 
10.8006 1.32772 3.32772 5.32772 
10.8506 1.00293 3.00293 5.00293 
10.9006 1.00293 3.00293 5.00293 
10.9506 1.4327 3.4327 5.4327 
11.0006 1.4327 3.4327 5.4327 
11.0506 1.96463 3.96463 5.96463 
11.1006 1.96463 3.96463 5.96463 
11.1506 1.79124 3.79124 5.79124 
11.2006 1.79124 3.79124 5.79124 
11.2506 1.17574 3.17574 5.17574 
11.3006 1.17574 3.17574 5.17574 
11.3506 1.05248 3.05248 5.05248 
11.4005 1.05248 3.05248 5.05248 
11.4506 1.60857 3.60857 5.60857 
11.5006 1.60857 3.60857 5.60857 
11.5506 1.99985 3.99985 5.99985 
11.6006 1.99985 3.99985 5.99985 
11.6506 1.63235 3.63235 5.63235 
11.7006 1.63235 3.63235 5.63235 
11.7506 1.06394 3.06394 5.06394 
11.8006 1.06394 3.06394 5.06394 
11.8506 1.15748 3.15748 5.15748 
11.9006 1.15748 3.15748 5.15748 
11.9506 1.77097 3.77097 5.77097 
12.0006 1.77097 3.77097 5.77097 
12.0506 1.97312 3.97312 5.97312 
12.1006 1.97312 3.97312 5.97312 
12.1506 1.45706 3.45706 5.45706 
12.2006 1.45706 3.45706 5.45706 
12.2506 1.00618 3.00618 5.00618 
12.3006 1.00618 3.00618 5.00618 
12.3506 1.30493 3.30493 5.30493 
12.4006 1.30493 3.30493 5.30493 
12.4506 1.8998 3.8998 5.8998 
12.5006 1.8998 3.8998 5.8998 
12.5506 1.88776 3.88776 5.88776 
12.6006 1.88776 3.88776 5.88776 
12.6506 1.28709 3.28709 5.28709 
12.7006 1.28709 3.28709 5.28709 
12.7506 1.00962 3.00962 5.00962 
12.8006 1.00962 3.00962 5.00962 
12.8506 1.47655 3.47655 5.47655 
12.9006 1.47655 3.47655 5.47655 
12.9506 1.97908 3.97908 5.97908 
13.0006 1.97908 3.97908 5.97908 
13.0506 1.75435 3.75435 5.75435 
13.1006 1.75435 3.75435 5.75435 
13.1506 1.14351 3.14351 5.14351 
13.2005 1.14351 3.14351 5.14351 
13.2506 1.07383 3.07383 5.07383 
13.3006 1.07383 3.07383 5.07383 
13.3506 1.65108 3.65108 5.65108 
13.4006 1.65108 3.65108 5.65108 
13.4506 1.99899 3.99899 5.99899 
13.5006 1.99899 3.99899 5.99899 
13.5506 1.58942 3.58942 5.58942 
13.6006 1.58942 3.58942 5.58942 
13.6506 1.04411 3.04411 5.04411 
13.7006 1.04411 3.04411 5.04411 
13.7506 1.19085 3.19085 5.19085 
13.8006 1.19085 3.19085 5.19085 
13.8506 1.80689 3.80689 5.80689 
13.9006 1.80689 3.80689 5.80689 
13.9506 1.95706 3.95706 5.95706 
14.0006 1.95706 3.95706 5.95706 
14.0506 1.4134 3.4134 5.4134 
14.1006 1.4134 3.4134 5.4134 
14.1506 1.0012 3.0012 5.0012 
14.2006 1.0012 3.0012 5.0012 
14.2506 1.34619 3.34619 5.34619 
14.3006 1.34619 3.34619 5.34619 
14.3506 1.92467 3.92467 5.92467 
14.4005 1.92467 3.92467 5.92467 
14.4506 1.85849 3.85849 5.85849 
14.5005 1.85849 3.85849 5.85849 
14.5506 1.24812 3.24812 5.24812 
14.6005 1.24812 3.24812 5.24812 
14.6506 1.02011 3.02011 5.02011 
14.7006 1.02011 3.02011 5.02011 
14.7506 1.52059 3.52059 5.52059 
14.8005 1.52059 3.52059 5.52059 
14.8506 1.98981 3.98981 5.98981 
14.9006 1.98981 3.98981 5.98981 
14.9506 1.71549 3.71549 5.71549 
15.0006 1.71549 3.71549 5.71549 
15.0505 1.11405 3.11405 5.11405 
15.1006 1.11405 3.11405 5.11405 
15.1506 1.09849 3.09849 5.09849 
15.2006 1.09849 3.09849 5.09849 
15.2506 1.69243 3.69243 5.69243 
15.3006 1.69243 3.69243 5.69243 
15.3506 1.99426 3.99426 5.99426 
